rank,channel,time_sec,score
1,T4-T6,0.0,0.052593450993299484
2,F7-T3,0.1,0.05061914026737213
3,Fp2-F4,0.1,0.04952685162425041
4,F4-C4,0.1,0.04791942238807678
5,Fp1-F7,0.1,0.04743793234229088
6,F8-T4,0.0,0.04715779423713684
7,Fp1-F3,0.1,0.04700477048754692
8,T3-T5,0.1,0.04677719995379448
9,T6-O2,0.0,0.04676142334938049
10,F7-T3,0.0,0.04658285900950432
11,T3-T5,0.0,0.045960430055856705
12,F8-T4,0.1,0.045633379369974136
13,F4-C4,0.0,0.04543646052479744
14,F3-C3,0.1,0.04459874704480171
15,T5-O1,0.0,0.043881263583898544
