rank,channel,time_sec,score
1,T5-O1,0.0,0.11182776838541031
2,T6-O2,0.0,0.10025936365127563
3,T5-O1,0.9,0.09170561283826828
4,T5-O1,0.8,0.09116268157958984
5,Fp1-F7,0.0,0.08562228828668594
6,T5-O1,0.1,0.08086556941270828
7,T6-O2,0.7,0.07983028143644333
8,T5-O1,0.7,0.07895287126302719
9,Fp1-F7,2.4,0.07683401554822922
10,Fp1-F7,5.1,0.07625824958086014
11,Fp1-F7,1.5,0.07534762471914291
12,T6-O2,0.9,0.07484450191259384
13,T5-O1,1.0,0.07409939914941788
14,Fp2-F8,0.0,0.0737975537776947
15,Fp1-F7,5.8,0.07347030192613602
